representation,source_file,num_samples,num_candidate_points,num_candidates,threshold,calibration_mode,calibration_target,candidate_point_rate,score_mean,score_std,score_max,candidate_points_total,candidate_length_mean,candidate_length_max,peak_score_mean,peak_score_max
single_channel,A1-29.1_preprocessed__single_channel.csv,25614,91,3,19.08129351917841,global_quantile,0.995,0.003552744592800812,1.5248729039244995,2.31219680399034,34.189740723832045,87,29.0,55,26.678427760909884,34.189740723832045
single_channel,A1-3.1_preprocessed__single_channel.csv,27104,116,4,19.08129351917841,global_quantile,0.995,0.004279811097992916,1.6717529730879859,3.616753337037892,125.91711208499149,109,27.25,42,51.28601806807082,125.91711208499149
single_channel,A1-30.1_preprocessed__single_channel.csv,6501,56,3,19.08129351917841,global_quantile,0.995,0.008614059375480695,2.385489886424332,4.193174753488695,52.538953778083744,56,18.666666666666668,24,40.9345331973572,52.538953778083744
single_channel,A1-31.1_preprocessed__single_channel.csv,6830,121,3,19.08129351917841,global_quantile,0.995,0.017715959004392386,3.5826903422406198,5.202727880991322,32.40498209118515,121,40.333333333333336,75,28.822462584860432,32.40498209118515
single_channel,A1-32.1_preprocessed__single_channel.csv,3913,27,2,19.08129351917841,global_quantile,0.995,0.006900076667518528,1.8898432738964432,7.349636673972235,146.49235792198132,27,13.5,15,103.24653769589287,146.49235792198132
single_channel,A1-4.1_preprocessed__single_channel.csv,26988,82,3,19.08129351917841,global_quantile,0.995,0.003038387431451015,1.8250436483117134,5.273843388416784,173.93284737367264,82,27.333333333333332,55,109.00252677258027,173.93284737367264
single_channel,A1-5.1_preprocessed__single_channel.csv,28967,299,8,19.08129351917841,global_quantile,0.995,0.010322090654883143,5.601560408288817,67.95691670591516,2178.363845884365,293,36.625,149,298.87650758983114,2178.363845884365
single_channel,A1-6.1_preprocessed__single_channel.csv,25024,50,3,19.08129351917841,global_quantile,0.995,0.001998081841432225,1.6090701442489221,3.242409220607186,128.87604567832065,49,16.333333333333332,23,59.41950163766981,128.87604567832065
single_channel,A1-6.2_preprocessed__single_channel.csv,18873,96,1,19.08129351917841,global_quantile,0.995,0.005086631696073756,1.8929621383141215,6.656826249793664,222.63685613857297,91,91.0,91,222.63685613857297,222.63685613857297
single_channel,A1-7.1_preprocessed__single_channel.csv,27273,205,7,19.08129351917841,global_quantile,0.995,0.007516591500751659,2.2929146972718195,6.092563107897859,270.0881841254111,205,29.285714285714285,63,66.70026629738621,270.0881841254111
single_channel,A1-8.1_preprocessed__single_channel.csv,23266,64,5,19.08129351917841,global_quantile,0.995,0.002750795151723545,1.5122253653371502,2.294520652054281,38.662845689355066,64,12.8,17,28.692438253638027,38.662845689355066
single_channel,A1-9.1_preprocessed__single_channel.csv,24353,40,3,19.08129351917841,global_quantile,0.995,0.0016425081098837926,1.7100134426473272,2.6130039942722227,42.822191546509785,41,13.666666666666666,16,29.102471900575683,42.822191546509785
real_concat,A1-10.1_preprocessed__real_concat.csv,27509,32,2,13.305150625353635,global_quantile,0.995,0.0011632556617834162,1.2519191875343527,1.2384998872909085,21.10046985917525,25,12.5,14,18.677549440942233,21.10046985917525
