sample_index,axis,baseline_distance,mode_common,mode_difference,mode_coupling,mode_saliency
19,2.64981539191899,1.5000000022676252,0.9835022741223333,-0.37412729102078957,0.04086429568818455,-0.6345245622266971
20,2.65554973227615,1.4999999986626056,0.9839637228107926,-0.3784769299472126,0.04088812218344407,-0.6343773766478923
21,2.66131804740286,1.5000000049350657,0.9841452763930596,-0.4254529291492183,0.040870266582135995,-0.6211677537454461
22,2.6671285309188,1.500000007585317,0.9860818479380853,-0.3715175006261052,0.04091206657827175,-0.6171623945574148
23,2.67298903941764,1.500000003797444,0.9850000911765593,-0.34280994542314336,0.04082373902483712,-0.5994308586945952
24,2.67890707358973,1.4999999979969492,0.9854161514694793,-0.4167536831383512,0.04076055771658145,-0.6012126451065616
25,2.68488976991202,1.5000000015474804,0.9875040176664859,-0.37151751410745054,0.04081397102142479,-0.5938370703779069
26,2.69094388419415,1.500000001864627,0.9882831851239401,-0.27147600353327067,0.0408640927816405,-0.5920026137705243
27,2.69707578773439,1.4999999984322911,0.9878066069703377,-0.2967038700379571,0.04082261464489402,-0.5848184708977487
28,2.70329146234531,1.4999999941514728,0.9881394552045857,-0.44459132950513525,0.040864994743965564,-0.5880322630491972
29,2.70959649211385,1.4999999918310272,0.9887975869405652,-0.5707306306973261,0.04090310206457719,-0.5827612049342175
30,2.71599606498909,1.5000000033884302,0.9898566495042115,-0.27147600023253565,0.040858452475578996,-0.5765001453613552
31,2.72249496313979,1.50000000561401,0.9897583079803964,-0.5576817055400339,0.040823296028039684,-0.5714857480461668
32,2.72909756712553,1.500000000489634,0.9915738438038374,-0.46198983851922015,0.040868737101093455,-0.5582836982294879
33,2.73580784933321,1.499999999697027,0.9899096026323774,-0.3436798806711553,0.040950270364667224,-0.5496221023748894
34,2.74262937796558,1.49999999707481,0.9913393370932945,-0.3549889267585843,0.04100846838399642,-0.5627277965663534
35,2.74956532214889,1.5000000002912797,0.992330317063632,-0.5420230469559233,0.04109751173624279,-0.589774708023309
36,2.75661845306553,1.499999995429586,0.9935406742791492,-0.4254529507149409,0.04127504439415916,-0.5856403455593737
37,2.76379115604728,1.49999999962219,0.9924664822503597,-0.34541973318534586,0.041304996058257853,-0.5840564665910001
38,2.77108543017926,1.499999994414117,0.9936163216051946,-0.4776485236418559,0.04125477776241506,-0.5961135136387313
39,2.77850289742007,1.50000000500549,0.9938962167112768,-0.5394132573839253,0.04129111727572806,-0.6073554956689007
40,2.78604481056863,1.500000001781936,0.9932986028360897,-0.33324076197877456,0.0411785440580341,-0.6186064975589788
41,2.7937120573722,1.5000000035838983,0.9958554824540722,-0.3036632681678857,0.04118431344904459,-0.6221328346993981
42,2.80150517196964,1.4999999958599814,0.9966800383071756,-0.41240405708895866,0.041184158227269806,-0.6224692248970547
43,2.80942434015879,1.4999999987850388,0.9986090451195747,-0.40283486256562834,0.04130493401527504,-0.6234617152510067
44,2.81746941619576,1.499999999914265,0.9983518442112622,-0.21841051115541102,0.04121022195907592,-0.6322699265398959
45,2.82563993485717,1.5000000035477807,0.9983442794786356,-0.3149723084792727,0.04114693713269387,-0.6333530557151873
46,2.83393512691135,1.5000000019196211,0.9997513197417831,-0.30279334563254195,0.04106567650124334,-0.6341308408486911
47,2.84235392379694,1.4999999940925954,1.0012415720634926,-0.36629797369443534,0.04099035612238709,-0.633769972025483
48,2.85089497625255,1.500000005747972,1.0020283042535734,-0.387176175800946,0.040801522639670386,-0.6346189012396399
49,2.85955666983633,1.4999999973178164,1.001317219389428,-0.36455811415319533,0.04087542926319173,-0.6328122955838401
50,2.86833714081937,1.4999999996110174,1.0032689203995968,-0.43415220297072465,0.04095533535328275,-0.6320567461601913
51,2.87723428459429,1.5000000018110673,1.003964875798599,-0.32802120487664216,0.040988817969447824,-0.6291276287494992
52,2.8862457733664,1.4999999952757697,1.0061056951236613,-0.3723874542845902,0.0408747291886985,-0.6230170147499043
53,2.89536906993834,1.5000000074506263,1.0049255968384303,-0.38108668879672325,0.040873303840101474,-0.6243787657325701
54,2.9046014392431,1.4999999984097696,1.007558123782348,-0.41762360837593143,0.04083430638302626,-0.6197634311549223
55,2.91393995726416,1.5000000024883315,1.0071647576873077,-0.4924372499730622,0.040832056315462384,-0.6195556302100295
56,2.92338152427828,1.500000002052516,1.008193561320558,-0.5254944455425737,0.04083142434120687,-0.6150790104244965
57,2.93292287703341,1.500000001642143,1.0090332466389145,-0.34020017167189814,0.040941833345865576,-0.6055335666753272
58,2.94256060610881,1.4999999928271404,1.009472001129494,-0.45155074195842143,0.04107880513406477,-0.5919036340554702
