track_id,source_file,method,input_dir,signal_column,num_samples,signal_mean,signal_std,background_std,residual_mean,residual_std,residual_rms,peak_abs_residual,response_mean,response_std,peak_response,baseline_family,basis_type,basis_order,ridge_lambda
A1-23.1_preprocessed,A1-23.1_preprocessed__single_channel.csv,obf,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,5098,47369.53643732836,62.375249603170445,62.04094960898028,9.29175556555413e-06,6.44921140888595,6.449211408892643,28.139529129352013,3.9157282382646597,3.549690063384389,19.987199926984797,obf,legendre,8,1e-06
A1-25.1_preprocessed,A1-25.1_preprocessed__single_channel.csv,obf,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,5077,47351.06992741777,56.04158921223891,55.055083776360654,9.326547944291554e-06,10.468880846376964,10.468880846381118,39.87935099971946,3.9173934543522795,4.092395807023994,21.82031097942519,obf,legendre,8,1e-06
A1-26.1_preprocessed,A1-26.1_preprocessed__single_channel.csv,obf,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,1227,47263.99233863081,40.30067941313381,39.57524178857562,3.851996763794741e-05,7.612160408425716,7.612160408523177,28.106258162501035,2.708104170738169,1.6599403711572804,10.194633129737534,obf,legendre,8,1e-06
A1-27.1_preprocessed,A1-27.1_preprocessed__single_channel.csv,obf,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,26256,47325.45195640997,53.046539006075,52.91354207409098,1.8024759576501626e-06,3.753979857397019,3.753979857397452,46.65222863353847,2.9577367139094437,2.4724355608629476,47.218598723788645,obf,legendre,8,1e-06
A1-29.1_preprocessed,A1-29.1_preprocessed__single_channel.csv,obf,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,25614,47316.54771376982,52.545298904970345,52.446007109919876,1.8473381936153854e-06,3.228741910496347,3.2287419104968755,40.04418664191326,3.3211443528794358,2.3243427783667765,16.882914184871805,obf,legendre,8,1e-06
A1-3.1_preprocessed,A1-3.1_preprocessed__single_channel.csv,obf,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,27104,47351.17085671857,65.52520888138146,65.37235135376315,1.7470738865390832e-06,4.4731058474359235,4.473105847436265,18.469932375162898,3.029228253491833,2.015029791351367,14.404137724650237,obf,legendre,8,1e-06
A1-30.1_preprocessed,A1-30.1_preprocessed__single_channel.csv,obf,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,6501,47321.648978695586,45.9089853137576,45.63708372542054,7.2791854935613545e-06,4.989140032494017,4.989140032499328,62.797660876225564,3.467169349674745,3.5196794362215145,52.12073922454778,obf,legendre,8,1e-06
A1-31.1_preprocessed,A1-31.1_preprocessed__single_channel.csv,obf,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,6830,47365.41532510982,54.625719437217946,54.502292759004305,6.934884108693678e-06,3.6700550832391614,3.6700550832457135,17.35825282924634,3.417659248623257,2.9464117500142173,22.35949216769648,obf,legendre,8,1e-06
A1-32.1_preprocessed,A1-32.1_preprocessed__single_channel.csv,obf,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,3913,47387.159819575776,52.621148499593,52.092753484274276,1.211023128364419e-05,7.438433796176167,7.438433796186024,287.3994499458713,3.3425661153525215,5.064742504445724,103.11459501032508,obf,legendre,8,1e-06
A1-4.1_preprocessed,A1-4.1_preprocessed__single_channel.csv,obf,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,26988,47326.33081573292,66.8450195681527,66.70947806847828,1.7533008242470272e-06,4.254665129622803,4.254665129623164,30.93385245851823,3.1208068079341755,2.230600417857971,21.841801766842313,obf,legendre,8,1e-06
A1-5.1_preprocessed,A1-5.1_preprocessed__single_channel.csv,obf,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,28967,47342.61502720337,66.80818150167894,66.66971853717686,1.6343644918998427e-06,4.299039929247645,4.2990399292479555,68.19429538609984,3.4861763054227395,3.5686238069040286,77.88455122481402,obf,legendre,8,1e-06
A1-6.1_preprocessed,A1-6.1_preprocessed__single_channel.csv,obf,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,25024,47343.69338758791,65.13787690882785,64.9689716639745,1.891976663021656e-06,4.687827587528865,4.687827587529247,33.79792433021066,3.03702625606134,2.053066539028695,13.311555296414708,obf,legendre,8,1e-06
A1-6.2_preprocessed,A1-6.2_preprocessed__single_channel.csv,obf,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,18873,47339.83626296826,65.92722247349494,65.76445124553511,2.508377614164487e-06,4.629861044969079,4.629861044969759,81.45850154743675,3.084041032513009,2.1529676890007288,17.594062840684234,obf,legendre,8,1e-06
A1-7.1_preprocessed,A1-7.1_preprocessed__single_channel.csv,obf,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,27273,47346.636747222525,66.09618959497318,65.81544327382292,1.7360144386712396e-06,6.085532365611703,6.08553236561195,170.50445909077098,3.0784475408241594,2.5571966710290623,70.37905045566386,obf,legendre,8,1e-06
A1-8.1_preprocessed,A1-8.1_preprocessed__single_channel.csv,obf,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,23266,47392.331283955136,63.71691379870818,63.54201865420541,2.037098665267702e-06,4.717729090023036,4.717729090023477,33.182772695574386,2.907821819877497,1.8683273680391543,17.380695383015034,obf,legendre,8,1e-06
A1-9.1_preprocessed,A1-9.1_preprocessed__single_channel.csv,obf,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,24353,47323.120894817876,60.91123414575416,60.812935686344666,1.943152973991338e-06,3.459089041153226,3.4590890411537716,20.390671020584705,3.892199485414559,3.8507326225079064,30.949628677062034,obf,legendre,8,1e-06
