sample_index,axis,baseline_distance,signal,background_estimate,residual,residual_smoothed,local_scale,normalized_residual,enhanced_response,abs_residual
22,0.680816580678477,1.5000000010333223,47272.5555,47285.69163107057,-13.136131070568808,-13.348866883160857,1.1599300712064806,-11.508337627005627,11.508337627005627,13.136131070568808
23,0.68196534990706,1.4999999980632837,47272.434,47285.640308149676,-13.206308149674442,-13.240488040262587,1.1599300712064806,-11.414901957400525,11.414901957400525,13.206308149674442
24,0.683104624109717,1.5000000048226292,47272.4235,47285.58908919586,-13.165589195865323,-13.12299094250678,1.1599300712064806,-11.313605249372607,11.313605249372607,13.165589195865323
25,0.684237320965253,1.5000000088411105,47272.513000000006,47285.53797409932,-13.02497409931675,-13.010764368931026,1.1599300712064806,-11.216852370589988,11.216852370589988,13.02497409931675
26,0.685366585140782,1.499999997962518,47272.547000000006,47285.486962750256,-12.939962750249833,-12.926863765311687,1.1599300712064806,-11.144519903571462,11.144519903571462,12.939962750249833
27,0.686495783515897,1.4999999915298392,47272.538,47285.436055038976,-12.898055038975144,-12.857511244173415,1.1599300712064806,-11.084729643055036,11.084729643055036,12.898055038975144
28,0.687628503431466,1.4999999968640962,47272.6875,47285.38525085585,-12.697750855848426,-12.760317806999309,1.1599300712064806,-11.00093714591509,11.00093714591509,12.697750855848426
29,0.688768543209419,1.5000000063516763,47272.696,47285.33455009135,-12.638550091345678,-12.664450010911322,1.1599300712064806,-10.918287511710615,10.918287511710615,12.638550091345678
30,0.689919911113552,1.5000000010218952,47272.6495,47285.28395263596,-12.63445263596077,-12.556685524214926,1.1599300712064806,-10.825381491450008,10.825381491450008,12.63445263596077
31,0.691086812219085,1.499999997532358,47272.7215,47285.233458380324,-12.511958380324359,-12.432968681960322,1.1599300712064806,-10.718722611466044,10.718722611466044,12.511958380324359
32,0.692273639435304,1.4999999944927036,47272.8515,47285.183067215105,-12.331567215107498,-12.312410485935592,1.1599300712064806,-10.614786866529856,10.614786866529856,12.331567215107498
33,0.693484960353976,1.500000004964022,47272.83,47285.132779031075,-12.302779031073442,-12.199621938010548,1.1599300712064806,-10.517549497894583,10.517549497894583,12.302779031073442
34,0.694725512160504,1.499999999433255,47273.0275,47285.082593719046,-12.055093719049182,-12.085825151238371,1.1599300712064806,-10.419442905439562,10.419442905439562,12.055093719049182
35,0.696000184921319,1.500000002145711,47273.206,47285.03251116996,-11.826511169958394,-11.960520016529902,1.1599300712064806,-10.311414725276826,10.311414725276826,11.826511169958394
36,0.697314006968621,1.500000002297333,47273.1695,47284.982531274756,-11.813031274752575,-11.840150869310795,1.1599300712064806,-10.207641963274108,10.207641963274108,11.813031274752575
37,0.698672126803619,1.5000000045026147,47273.25,47284.93265392452,-11.682653924523038,-11.742439822865386,1.1599300712064806,-10.123403224344116,10.123403224344116,11.682653924523038
38,0.700079798932702,1.499999998788315,47273.268500000006,47284.8828790104,-11.614379010396078,-11.627053434999349,1.1599300712064806,-10.023926203504386,10.023926203504386,11.614379010396078
39,0.701542365304805,1.5000000006023149,47273.3265,47284.83320642359,-11.506706423584546,-11.547936041364867,1.1599300712064806,-9.95571744196052,9.95571744196052,11.506706423584546
40,0.703065237821915,1.5000000039705694,47273.355,47284.783636055356,-11.4286360553524,-11.498754199917634,1.1599300712064806,-9.91331674672199,9.91331674672199,11.4286360553524
41,0.704653877359432,1.4999999922344185,47273.28200000001,47284.734167797105,-11.45216779709881,-11.443341135353775,1.1599300712064806,-9.865543983570653,9.865543983570653,11.45216779709881
42,0.706313774386858,1.4999999940171955,47273.4205,47284.68480154028,-11.26430154027912,-11.372363405779147,1.1599300712064806,-9.804352596834036,9.804352596834036,11.26430154027912
43,0.708050426640949,1.4999999989693915,47273.2925,47284.63553717634,-11.34303717633884,-11.305765347153486,1.1599300712064806,-9.746937016120286,9.746937016120286,11.34303717633884
