sample_index,axis,baseline_distance,signal,background_estimate,residual,residual_smoothed,local_scale,normalized_residual,enhanced_response,abs_residual,denoised_signal,wavelet_background
29,2.07477777777778,1.4999999937553492,47294.0665,47293.74798330976,0.30484330251056235,0.299418080006338,0.3852615882857679,0.7771812428501036,0.7771812428501036,0.30484330251056235,47294.05282661227,47293.74798330976
31,2.13731944444444,1.4999999964204245,47294.1885,47293.756777977535,0.31578229022125015,0.3108975604474027,0.38404697836320245,0.8095300261765876,0.8095300261765876,0.31578229022125015,47294.072560267756,47293.756777977535
32,2.058,1.499999996618074,47294.1995,47293.76635953263,0.3263903933693655,0.3204368852384505,0.3805640396600205,0.8420051603528147,0.8420051603528147,0.3263903933693655,47294.092749926,47293.76635953263
33,2.08636805555556,1.4999999972215112,47294.191,47293.774154882194,0.3340677110973047,0.32826239241047817,0.37708110095683856,0.8705352550884053,0.8705352550884053,0.3340677110973047,47294.10822259329,47293.774154882194
34,2.14405092592593,1.499999998834343,47294.1335,47293.78065275269,0.3394061614453676,0.33451483367065926,0.37256403882292066,0.8978720402740047,0.8978720402740047,0.3394061614453676,47294.12005891414,47293.78065275269
35,2.116,1.4999999969975553,47294.1795,47293.79045973498,0.34388400278112385,0.339267437528987,0.3680469766890028,0.9218047124882802,0.9218047124882802,0.34388400278112385,47294.13434373776,47293.79045973498
36,2.07133333333333,1.499999992349546,47294.258,47293.80361659164,0.34726133530784864,0.3422191086299588,0.363322651077496,0.941915147913429,0.941915147913429,0.34726133530784864,47294.15087792695,47293.80361659164
37,2.14161111111111,1.4999999951933902,47294.2655,47293.818207661825,0.3491580084664747,0.3431788492687499,0.35859832546598913,0.9570007021722647,0.9570007021722647,0.3491580084664747,47294.16736567029,47293.818207661825
38,2.0545,1.5000000028533522,47294.32,47293.83537472673,0.3498402978366357,0.34219565823150333,0.35780288062734705,0.9563803892006708,0.9563803892006708,0.3498402978366357,47294.18521502457,47293.83537472673
40,2.094,1.5000000000641658,47294.294,47293.8517375531,0.3476167372355121,0.3395410940809395,0.3570074357887051,0.951075692109385,0.951075692109385,0.3476167372355121,47294.19935429034,47293.8517375531
41,2.07307407407407,1.499999996290575,47294.316000000006,47293.86706348517,0.3423473301299964,0.3353546158331382,0.35394008828289103,0.947489778453979,0.947489778453979,0.3423473301299964,47294.2094108153,47293.86706348517
42,2.08258333333333,1.499999993779858,47294.2505,47293.88397289062,0.33502805911848554,0.3296244723023847,0.350872740777077,0.9394416664354324,0.9394416664354324,0.33502805911848554,47294.219000949735,47293.88397289062
43,2.086,1.500000001254678,47294.316000000006,47293.901706367265,0.32521899176208535,0.32245987572888324,0.33984384529096473,0.9488471843672854,0.9488471843672854,0.32521899176208535,47294.22692535903,47293.901706367265
44,2.10702777777778,1.4999999998414375,47294.329,47293.92064845965,0.3155150840902934,0.31379001272499507,0.32881494980485243,0.9543057969573023,0.9543057969573023,0.3155150840902934,47294.23616354374,47293.92064845965
45,2.0795,1.5000000027667486,47294.312000000005,47293.94113056531,0.3062056985509116,0.303712970548885,0.3281306327831766,0.9255855449179401,0.9255855449179401,0.3062056985509116,47294.24733626386,47293.94113056531
46,2.15916666666667,1.500000007677576,47294.322,47293.962431555796,0.2956900435310672,0.2924834990925673,0.32744631576150085,0.8932258053121628,0.8932258053121628,0.2956900435310672,47294.25812159933,47293.962431555796
47,2.09166666666667,1.4999999972786529,47294.3975,47293.98473923395,0.284676639304962,0.2802107363984558,0.32503527985688924,0.8620932980623845,0.8620932980623845,0.284676639304962,47294.269415873256,47293.98473923395
48,2.13366666666667,1.5000000022950524,47294.3925,47294.0084597065,0.2718115308016422,0.2667523538362325,0.3226242439522777,0.8268205469260714,0.8268205469260714,0.2718115308016422,47294.2802712373,47294.0084597065
49,2.076,1.4999999993193338,47294.291,47294.033554682785,0.2569233576505212,0.25166558558541713,0.31297622027305005,0.8041044951142178,0.8041044951142178,0.2569233576505212,47294.290478040435,47294.033554682785
50,2.05004166666667,1.5000000002865006,47294.331,47294.06000914629,0.24128208702313714,0.2345923070178186,0.30332819659382243,0.7733943288231593,0.7733943288231593,0.24128208702313714,47294.301291233314,47294.06000914629
51,2.07516666666667,1.5000000009431098,47294.422,47294.08792236042,0.22457319487148197,0.2152714489388422,0.3007487590648271,0.7157849947850987,0.7157849947850987,0.22457319487148197,47294.31249555529,47294.08792236042
52,2.0845,1.5000000002369762,47294.318,47294.11605844241,0.20409354870207608,0.19356748595520104,0.2981693215358318,0.6491864587482032,0.6491864587482032,0.20409354870207608,47294.32015199111,47294.11605844241
53,2.11339583333333,1.4999999989772004,47294.3735,47294.14434081714,0.17973416983295465,0.1695024997906229,0.2946474452157975,0.575272253477306,0.575272253477306,0.17973416983295465,47294.32407498697,47294.14434081714
55,2.11266666666667,1.4999999945082363,47294.296,47294.1734510486,0.15254619144252501,0.14294413734266223,0.2911255688957632,0.4910050940728021,0.4910050940728021,0.15254619144252501,47294.32599724004,47294.1734510486
56,2.05993229166667,1.5000000020022086,47294.449,47294.20307322792,0.12180232082027942,0.11365879803876548,0.2905525900854328,0.39118150006973174,0.39118150006973174,0.12180232082027942,47294.324875548744,47294.20307322792
58,2.042,1.4999999931089882,47294.3245,47294.23393181745,0.08934097245219164,0.08238268445954115,0.2899796112751025,0.2840981960672574,0.2840981960672574,0.08934097245219164,47294.3232727899,47294.23393181745
61,2.11975,1.5000000038211578,47294.3625,47294.26610903067,0.05522665532043902,0.05022293599823671,0.26769919805058645,0.18760958704383646,0.18760958704383646,0.05522665532043902,47294.32133568599,47294.26610903067
