track_id,source_file,method,input_dir,signal_column,num_samples,signal_mean,signal_std,background_std,residual_mean,residual_std,residual_rms,peak_abs_residual,response_mean,response_std,peak_response,baseline_family,wavelet_name,wavelet_level,wavelet_threshold,mirror_pad_size,denoised_delta_rms
A1-20.1_preprocessed,A1-20.1_preprocessed__single_channel.csv,wavelet_denoise,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,1725,47349.45495130435,51.89425850316468,51.75669124583586,0.029926389251376733,3.1855081671084395,3.1856487363625314,17.68500956632488,0.820554930065271,0.6053799074036863,4.424536828385498,wavelet,db4,6,0.31333531256551245,800,0.17280217700441403
A1-21.1_preprocessed,A1-21.1_preprocessed__single_channel.csv,wavelet_denoise,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,1437,47363.66825748087,71.0036512856073,70.95549950008613,-0.0006063812934276589,2.494851569855106,2.4948516435465176,16.294386551766365,0.9458727834621116,0.7683836285184018,5.02458161449753,wavelet,db4,6,0.43353135012047034,800,0.258562685667061
A1-22.1_preprocessed,A1-22.1_preprocessed__single_channel.csv,wavelet_denoise,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,6907,47289.77958838859,9.782856528385357,9.762238869646072,-5.947389811140799e-05,0.614849060781108,0.6148490636575412,9.691963913865038,0.8830516882033356,0.6930529295881513,10.42311169614105,wavelet,db4,6,0.20561795761662627,800,0.06978006871311539
A1-23.1_preprocessed,A1-23.1_preprocessed__single_channel.csv,wavelet_denoise,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,5098,47369.53643732836,62.375249603170445,62.36615392297225,-0.0009000091293340806,1.0331474342877833,1.0331478263016685,18.506760049509467,0.9519460184306705,0.9652826157050707,13.913283467403632,wavelet,db4,6,0.2591382340013025,800,0.13295535606211376
A1-25.1_preprocessed,A1-25.1_preprocessed__single_channel.csv,wavelet_denoise,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,5077,47351.06992741777,56.04158921223891,56.01111759790484,0.0036368564580047153,1.730204740743058,1.7302085630393373,14.498079724980926,0.8059106276549755,0.5942583108859341,4.638735530862994,wavelet,db4,6,0.26965668999249126,800,0.1393423414188917
A1-26.1_preprocessed,A1-26.1_preprocessed__single_channel.csv,wavelet_denoise,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,1227,47263.99233863081,40.30067941313381,39.52695556357175,0.2238211197781761,5.180542799430947,5.18537554960049,35.656028320037876,0.8422183917323957,0.6656579980249345,3.503594875293717,wavelet,db4,6,0.4109828660758068,800,0.23635738385773014
A1-27.1_preprocessed,A1-27.1_preprocessed__single_channel.csv,wavelet_denoise,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,26256,47325.45195640997,53.046539006075,53.04171852034215,-0.00012638861116950437,0.7147996312813057,0.7147996424551231,15.793942383323156,0.7463602705327846,0.5875248440361475,10.73877855588882,wavelet,db4,6,0.2211224783486855,800,0.07007180301359997
A1-29.1_preprocessed,A1-29.1_preprocessed__single_channel.csv,wavelet_denoise,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,25614,47316.54771376982,52.545298904970345,52.53958987096546,0.00017747679505853917,0.75732476966545,0.7573247904610279,31.347750192748208,0.8561988132323126,0.7824625342675378,16.76755259677465,wavelet,db4,6,0.2189947630311808,800,0.07455934078476212
A1-3.1_preprocessed,A1-3.1_preprocessed__single_channel.csv,wavelet_denoise,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,27104,47351.17085671857,65.52520888138146,65.52359775104513,-0.00010403554972030137,0.4490586168914867,0.4490586289426922,13.056063318159431,0.8156128211663269,0.6116549478356023,5.919287592044795,wavelet,db4,6,0.23146947671772597,800,0.06772895243187212
A1-30.1_preprocessed,A1-30.1_preprocessed__single_channel.csv,wavelet_denoise,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,6501,47321.648978695586,45.9089853137576,45.86094369004752,0.002671511842573895,2.0104822265822206,2.01048400152265,56.46792371812626,0.949781210313764,1.0125050466328633,18.217947018418496,wavelet,db4,6,0.25437901533270507,800,0.12423841933844178
A1-31.1_preprocessed,A1-31.1_preprocessed__single_channel.csv,wavelet_denoise,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,6830,47365.41532510982,54.625719437217946,54.61278309940465,-0.0012344939859428355,1.1854184456697239,1.1854190884701603,14.227707758276665,0.8723996799554343,0.7208128284863015,9.770907783898464,wavelet,db4,6,0.2677232771905118,800,0.13433418820893672
A1-32.1_preprocessed,A1-32.1_preprocessed__single_channel.csv,wavelet_denoise,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,3913,47387.159819575776,52.621148499593,52.19401947363781,-0.005483179215984932,6.624270467208249,6.624272736533554,276.48034129469306,0.8524172590281326,0.7401039772493784,10.66152161845431,wavelet,db4,6,0.3268227269434062,800,0.17566797840067114
A1-4.1_preprocessed,A1-4.1_preprocessed__single_channel.csv,wavelet_denoise,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,26988,47326.33081573292,66.8450195681527,66.84209916289038,-0.00025146498341816945,0.6067541133228845,0.606754165431831,24.520719649903185,0.818373571466617,0.6322699112687004,7.241928045305117,wavelet,db4,6,0.22220698156816637,800,0.07453155687750083
A1-5.1_preprocessed,A1-5.1_preprocessed__single_channel.csv,wavelet_denoise,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,28967,47342.61502720337,66.80818150167894,66.80146744579328,-7.2691558177183e-05,0.9460960815549606,0.946096084347522,30.576823517418234,0.9403387129817766,1.0552397089820695,56.217062785936534,wavelet,db4,6,0.2317299131757005,800,0.06844815214129359
A1-6.1_preprocessed,A1-6.1_preprocessed__single_channel.csv,wavelet_denoise,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,25024,47343.69338758791,65.13787690882785,65.13329469343653,-0.0001944727481352803,0.7729978327560451,0.7729978572190173,30.24846525882458,0.8904069537523314,0.7177476938571757,10.003697633211626,wavelet,db4,6,0.2264987151056206,800,0.06832418929443436
A1-6.2_preprocessed,A1-6.2_preprocessed__single_channel.csv,wavelet_denoise,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,18873,47339.83626296826,65.92722247349494,65.89820898083408,-0.000271071436854358,1.9384302597189105,1.9384302786723198,78.74590225582506,0.8882120567103574,0.9160500076957118,30.070197986000952,wavelet,db4,6,0.21271617735036322,800,0.06504766946314831
A1-7.1_preprocessed,A1-7.1_preprocessed__single_channel.csv,wavelet_denoise,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,27273,47346.636747222525,66.09618959497318,66.04397849686251,-0.00012911173517570106,2.622729077875206,2.6227290810531625,84.99803392500326,0.8964397710545766,0.7677143554971554,14.772790137944494,wavelet,db4,6,0.22726784923033402,800,0.07145868523180152
A1-8.1_preprocessed,A1-8.1_preprocessed__single_channel.csv,wavelet_denoise,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,23266,47392.331283955136,63.71691379870818,63.70881245204291,-6.980004332291652e-05,1.000602994733031,1.000602997167586,29.182080689250142,0.9891432485456577,0.8483382217120299,10.193457455802681,wavelet,db4,6,0.23559119685105098,800,0.07753866059595002
A1-9.1_preprocessed,A1-9.1_preprocessed__single_channel.csv,wavelet_denoise,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,24353,47323.120894817876,60.91123414575416,60.90903906567429,-0.00013913792231887287,0.5304441262312987,0.5304441444795553,13.611922209929617,0.7636311674730674,0.6379878124869534,11.64798951764631,wavelet,db4,6,0.22446668978771972,800,0.0731174037341571
