sample_index,axis,sensor_a,sensor_b,x_a,x_b,y_a,y_b,baseline_distance,mean_field,diff_field,gradient_field
254,3.546,47398.153,47401.97,393629.647260182,393630.126245755,3107822.41605059,3107823.83751914,1.5000000058043386,47400.061499999996,-3.8170000000027358,-2.5446666568217524
255,3.561,47398.161,47402.106,393629.488239927,393630.024674115,3107822.46674742,3107823.86754661,1.5000000030762397,47400.133499999996,-3.944999999999709,-2.6299999946061323
256,3.552,47398.187,47402.164,393629.327907521,393629.931823196,3107822.51828574,3107823.89134287,1.500000008069715,47400.1755,-3.9769999999989523,-2.6513333190689656
257,3.582,47398.411,47402.18,393629.162630148,393629.851031812,3107822.5731531,3107823.9058583,1.5000000005434784,47400.2955,-3.769000000000233,-2.512666665756435
258,3.592,47398.392,47402.162,393629.013605119,393629.760793557,3107822.62066167,3107823.92131898,1.500000000010426,47400.277,-3.7699999999967986,-2.5133333333137293
259,3.598,47398.508,47402.305,393628.869907055,393629.671710821,3107822.6652399,3107823.9329586,1.4999999940214737,47400.4065,-3.7969999999986612,-2.531333343421536
260,3.567,47398.647,47402.26,393628.723503112,393629.591480807,3107822.71205529,3107823.93541735,1.5000000027994134,47400.4535,-3.6130000000048312,-2.4086666621746518
262,3.635,47398.556,47402.301,393628.462803514,393629.415954849,3107822.78350611,3107823.94173861,1.4999999974016724,47400.428499999995,-3.7450000000026193,-2.496666670993185
263,3.696,47398.752,47402.383,393628.339387394,393629.329056406,3107822.81351114,3107823.94070023,1.4999999992929558,47400.567500000005,-3.6310000000012224,-2.4206666678084936
264,3.629,47398.662,47402.49,393628.225470872,393629.23736193,3107822.83494688,3107823.94223026,1.4999999988787973,47400.576,-3.8280000000013388,-2.552000001908432
265,3.6765,47398.803,47402.419,393628.109673387,393629.151872617,3107822.85800709,3107823.93681234,1.5000000005590364,47400.611000000004,-3.6160000000018044,-2.410666665769436
266,3.712,47398.713,47402.461,393627.997560292,393629.066639019,3107822.87790146,3107823.93007572,1.4999999992353061,47400.587,-3.7479999999995925,-2.498666667940205
267,3.69675,47398.861,47402.529,393627.892599517,393628.977805728,3107822.89105097,3107823.92658343,1.4999999984104369,47400.695,-3.6680000000051223,-2.4453333359280895
268,3.703,47398.946,47402.611,393627.786449872,393628.893324421,3107822.90628064,3107823.91861889,1.499999999844792,47400.7785,-3.664999999993597,-2.4433333335818817
269,3.672,47398.826,47402.628,393627.686092823,393628.8058234,3107822.91644106,3107823.91454097,1.4999999985256576,47400.727,-3.801999999996042,-2.534666669155339
270,3.764,47398.928,47402.634,393627.584831106,393628.721610299,3107822.92926448,3107823.90790285,1.4999999976683693,47400.781,-3.705999999998312,-2.470666670505996
