track_id,source_file,method,input_dir,signal_column,num_samples,signal_mean,signal_std,background_std,residual_mean,residual_std,residual_rms,peak_abs_residual,response_mean,response_std,peak_response,baseline_family,num_imfs,keep_imfs,mirror_pad_size,reconstruction_error
A1-22.1_preprocessed,A1-22.1_preprocessed__single_channel.csv,emd,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,6907,47289.77958838859,9.782856528385357,9.783257341028547,0.0005068181269048312,0.10199078994759975,0.1019920491937934,1.532650798048015,0.8721413083652791,0.778200280439906,9.33139215373853,emd,5,2,800,1.0839232699429597e-16
A1-23.1_preprocessed,A1-23.1_preprocessed__single_channel.csv,emd,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,5098,47369.53643732836,62.375249603170445,62.37492969720557,0.00042202385948790006,0.21345354331244454,0.21345396050852658,3.2431857726234625,1.259925156372953,2.8491692128503914,52.56693603482351,emd,5,2,800,1.082700478074959e-16
A1-25.1_preprocessed,A1-25.1_preprocessed__single_channel.csv,emd,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,5077,47351.06992741777,56.04158921223891,56.04316555275636,-0.00035326699719495685,0.28121675384800854,0.2812169757364991,3.9999775139302214,1.1265621948861515,1.7235606683298343,38.03403783503486,emd,5,2,800,1.083859905600766e-16
A1-26.1_preprocessed,A1-26.1_preprocessed__single_channel.csv,emd,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,1227,47263.99233863081,40.30067941313381,40.30989149897757,0.004732208104959777,0.6611663805385336,0.6611833153883829,6.802716831975639,1.1616352006420516,1.5444729339308618,11.653282839157503,emd,5,2,800,1.0483189855765432e-16
A1-27.1_preprocessed,A1-27.1_preprocessed__single_channel.csv,emd,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,26256,47325.45195640997,53.046539006075,53.046508816091354,0.0010661159988184453,0.1264952813786851,0.12649977396974135,3.7966363090982744,0.8647959648311344,0.7768949641349522,15.386904000353814,emd,5,2,800,1.0827703527623531e-16
A1-29.1_preprocessed,A1-29.1_preprocessed__single_channel.csv,emd,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,25614,47316.54771376982,52.545298904970345,52.544735622698866,-0.00013954932920512753,0.29434594111397405,0.29434597419412134,11.689605954526181,0.8679066328410608,0.8904280683071312,24.826882754300577,emd,5,2,800,1.0877131752416736e-16
A1-3.1_preprocessed,A1-3.1_preprocessed__single_channel.csv,emd,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,27104,47351.17085671857,65.52520888138146,65.52524490667626,0.0001299527466223835,0.04733933164716643,0.04733951001559657,1.0402315048862365,0.8625526019133687,0.8806174557343148,27.638309871303658,emd,5,2,800,1.0886983413969804e-16
A1-30.1_preprocessed,A1-30.1_preprocessed__single_channel.csv,emd,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,6501,47321.648978695586,45.9089853137576,45.90505375233722,0.002879706662472665,1.0547566978746317,1.054760628968421,34.66880361927609,1.1795943736144217,1.9719083051538902,32.2306310333717,emd,5,2,800,1.0736670729066038e-16
A1-31.1_preprocessed,A1-31.1_preprocessed__single_channel.csv,emd,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,6830,47365.41532510982,54.625719437217946,54.6261425450013,0.00023616929685397372,0.19315163387422224,0.1931517782579761,4.665898938982389,1.09612065741987,1.7536722518513876,43.11111105618303,emd,5,2,800,1.0885922296631625e-16
A1-32.1_preprocessed,A1-32.1_preprocessed__single_channel.csv,emd,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,3913,47387.159819575776,52.621148499593,52.53288265696749,0.01298588305886627,4.305451663409302,4.3054712470428536,123.96052480666602,1.7281439654443063,9.459905114317193,281.9111764892154,emd,5,2,800,1.0752557566341923e-16
A1-4.1_preprocessed,A1-4.1_preprocessed__single_channel.csv,emd,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,26988,47326.33081573292,66.8450195681527,66.84528885759562,0.00037390928209322005,0.1369588107095267,0.13695932111075607,5.087848280577808,0.905744726273923,1.8337918230651482,89.19250493873277,emd,5,2,800,1.0908457125709188e-16
A1-5.1_preprocessed,A1-5.1_preprocessed__single_channel.csv,emd,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,28967,47342.61502720337,66.80818150167894,66.80831164092551,2.9723316779250146e-05,0.07813320136321987,0.07813320701686974,2.4621332224398413,0.8926645700656638,0.9972375898235551,21.34301212191721,emd,5,2,800,1.0859251810181998e-16
A1-6.1_preprocessed,A1-6.1_preprocessed__single_channel.csv,emd,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,25024,47343.69338758791,65.13787690882785,65.1366101738726,0.0009457246043504259,0.19920737092853946,0.19920961580026197,8.401594306903958,0.8527355174535307,0.6951144552044393,6.4438315809066475,emd,5,2,800,1.0878358855808365e-16
A1-6.2_preprocessed,A1-6.2_preprocessed__single_channel.csv,emd,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,18873,47339.83626296826,65.92722247349494,65.9261322904581,0.003327124938034362,1.155351281379033,1.1553560720161238,42.01976821631753,0.8621971068515671,0.7902190962935662,17.75595111899773,emd,5,2,800,1.0826129565887149e-16
A1-7.1_preprocessed,A1-7.1_preprocessed__single_channel.csv,emd,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,27273,47346.636747222525,66.09618959497318,66.08947678714374,0.004804484920110642,1.1744025470888189,1.1744123746299902,38.670796843815666,0.9227470137045906,1.3235285861388406,32.8452227216369,emd,5,2,800,1.0908748262090357e-16
A1-8.1_preprocessed,A1-8.1_preprocessed__single_channel.csv,emd,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,23266,47392.331283955136,63.71691379870818,63.71709460612487,0.0007741080485802611,0.15101537328688572,0.15101735732109842,3.9550750126699192,0.9382457479251947,1.4054353983792434,44.212529662752125,emd,5,2,800,1.0812909145478707e-16
A1-9.1_preprocessed,A1-9.1_preprocessed__single_channel.csv,emd,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,24353,47323.120894817876,60.91123414575416,60.910800502113325,-4.386070760356896e-05,0.16087757856593574,0.16087758454489703,6.579200812027752,0.8876567950148474,0.9700758307824952,25.404426779656685,emd,5,2,800,1.0863984004492514e-16
