sample_index,axis,baseline_distance,signal,background_estimate,residual,residual_smoothed,local_scale,normalized_residual,enhanced_response,abs_residual
4756,8.84,1.500000006940769,47332.557,47330.9515,1.6054999999978463,1.544944444440868,0.46413616666503654,3.3286448146064047,3.3286448146064047,1.6054999999978463
4760,8.8,1.499999999743946,47332.4185,47330.9515,1.466999999996915,1.536166666663323,0.46553639999895474,3.2997777760595564,3.2997777760595564,1.466999999996915
4762,8.794,1.5000000035360306,47332.446,47330.9515,1.4945000000006985,1.4173888888860044,0.5217104666668774,2.716811295624314,2.716811295624314,1.4945000000006985
4766,8.788,1.5000000059529357,47332.3465,47330.9515,1.3949999999967986,1.2913888888870133,0.5217104666668774,2.4752980271557234,2.4752980271557234,1.3949999999967986
4770,8.809,1.5000000027552416,47332.477,47330.9515,1.5254999999961,1.1614999999987452,0.5217104666668774,2.22633064546199,2.22633064546199,1.5254999999961
4787,8.825,1.4999999975436753,47332.534,47330.9515,1.5824999999967986,1.0247222222209933,0.5217104666668774,1.964158834626753,1.964158834626753,1.5824999999967986
4817,8.658,1.500000001485852,47331.495500000005,47330.9515,0.544000000001688,0.9022222222217048,0.5217104666668774,1.7293542680595515,1.7293542680595515,0.544000000001688
4820,8.643,1.4999999984274954,47331.384000000005,47330.9515,0.43250000000261934,0.7665555555552904,0.5217104666668774,1.4693122038602908,1.4693122038602908,0.43250000000261934
4823,8.621,1.4999999990073334,47331.3585,47330.9515,0.4069999999992433,0.6570555555550123,0.5217104666668774,1.2594256729270403,1.2594256729270403,0.4069999999992433
4826,8.628,1.4999999998904603,47331.326,47330.9515,0.37449999999807915,0.501611111110833,0.5217104666668774,0.9614741186151471,0.9614741186151471,0.37449999999807915
4828,8.554,1.4999999991335178,47331.316000000006,47330.9515,0.36450000000331784,0.3379444444443733,0.5217104666668774,0.6477624392001275,0.6477624392001275,0.36450000000331784
4829,8.56,1.4999999992613997,47331.225000000006,47330.9515,0.2735000000029686,0.2898888888885267,0.5217104666668774,0.5556508972123547,0.5556508972123547,0.2735000000029686
4830,8.569,1.4999999976617375,47331.361,47330.9515,0.40949999999429565,0.24444444444331262,0.5217104666668774,0.4685442598171896,0.4685442598171896,0.40949999999429565
4836,8.517,1.5000000048946027,47331.078,47330.9515,0.1264999999984866,0.20188888888757597,0.5217104666668774,0.38697496367556317,0.38697496367556317,0.1264999999984866
