sample_index,axis,baseline_distance,signal,background_estimate,residual,residual_smoothed,local_scale,normalized_residual,enhanced_response,abs_residual,lowrank_component,sparse_component
62,2.63417361111111,1.500000001203609,47394.6665,47394.59232006138,0.07417993861599825,0.10581283190549584,0.1611547620581601,0.6565914066337576,0.6565914066337576,0.07417993861599825,47394.59232006138,0.0
63,2.71483333333333,1.499999994377374,47394.756,47394.62196849458,0.13403150541853392,0.1223617170164491,0.166270215546737,0.7359208419505199,0.7359208419505199,0.13403150541853392,47394.62196849458,0.0
64,2.62502199074074,1.5000000033772525,47394.736,47394.65191171979,0.08408828020765213,0.12915911311493902,0.16637280699212376,0.7763234596447816,0.7763234596447816,0.08408828020765213,47394.65191171979,0.0
65,2.67966840277778,1.5000000005483825,47394.8315,47394.68221575823,0.14928424177196575,0.13907893892852977,0.166270215546737,0.8364633345256955,0.8364633345256955,0.14928424177196575,47394.68221575823,0.0
66,2.69677662037037,1.5000000014468249,47394.9,47394.71284720443,0.1871527955736383,0.1288868167183763,0.16569885822923727,0.7778376875721551,0.7778376875721551,0.1871527955736383,47394.71284720443,0.0
67,2.67857552083333,1.499999997638657,47394.963,47394.743795205424,0.21920479457912734,0.14005448683827934,0.1560393085695832,0.8975590069077005,0.8975590069077005,0.21920479457912734,47394.743795205424,0.0
68,2.65229513888889,1.5000000050374147,47394.9375,47394.77505080538,0.16244919462042162,0.13045968728854657,0.15515488352521062,0.8408351985089054,0.8408351985089054,0.16244919462042162,47394.77505080538,0.0
69,2.658,1.4999999976007958,47394.951,47394.806682533585,0.1443174664163962,0.12335340309477437,0.15261020004313175,0.8082906847636093,0.8082906847636093,0.1443174664163962,47394.806682533585,0.0
70,2.67025347222222,1.5000000075911768,47394.844,47394.838726866736,0.005273133261653129,0.10510223132183051,0.15228077414053742,0.6901871356710689,0.6901871356710689,0.005273133261653129,47394.838726866736,0.0
71,2.68418055555556,1.4999999984109078,47395.046,47394.87131103031,0.1746889696951257,0.07206501845535564,0.151675453007423,0.47512644285182243,0.47512644285182243,0.1746889696951257,47394.87131103031,0.0
72,2.6333125,1.4999999952080978,47394.952,47394.90432169053,0.047678309470938984,0.04247955545078083,0.14745028477982997,0.28809408889382965,0.28809408889382965,0.047678309470938984,47394.90432169053,0.0
73,2.697,1.499999998464318,47394.958,47394.937868277535,0.020131722463702317,0.02158746558173637,0.14745028477982997,0.14640504502226206,0.14640504502226206,0.020131722463702317,47394.937868277535,0.0
74,2.67,1.499999996736913,47394.957,47394.97197630419,-0.014976304184528999,-0.004861364468524698,0.14745028477982997,-0.032969515628834475,0.032969515628834475,0.014976304184528999,47394.97197630419,0.0
75,2.65847569444444,1.5000000035584775,47394.8965,47395.00668212023,-0.11018212022463558,-0.007729648107164798,0.14745028477982997,-0.0524220629258639,0.0524220629258639,0.11018212022463558,47395.00668212023,0.0
78,2.66966666666667,1.5000000045545216,47394.995,47395.042064372465,-0.04706437246204587,-0.033916023584121525,0.14745028477982997,-0.23001667060029285,0.23001667060029285,0.04706437246204587,47395.042064372465,0.0
79,2.65925,1.5000000009573038,47395.0525,47395.0780796142,-0.02557961420097854,-0.049112849939976715,0.14745028477982997,-0.33308073981214154,0.33308073981214154,0.02557961420097854,47395.0780796142,0.0
80,2.62825,1.500000003702644,47395.021,47395.11472200404,-0.09372200403595343,-0.0653907569738092,0.14745028477982997,-0.4434766407636951,0.4434766407636951,0.09372200403595343,47395.11472200404,0.0
81,2.675046875,1.500000000029806,47395.1315,47395.15204141949,-0.02054141948610777,-0.08231945569342417,0.1378170336271098,-0.5973097339778414,0.5973097339778414,0.02054141948610777,47395.15204141949,0.0
82,2.69655555555556,1.5000000004317628,47395.129,47395.1899884096,-0.06098840959748486,-0.08841107159080114,0.13727917303243106,-0.6440239232058512,0.6440239232058512,0.06098840959748486,47395.1899884096,0.0
83,2.64275,1.5000000046812378,47395.139500000005,47395.22859312774,-0.0890931277317577,-0.10649934720681307,0.13727917303243106,-0.775786631389843,0.775786631389843,0.0890931277317577,47395.22859312774,0.0
84,2.64558680555556,1.4999999945781946,47395.1415,47395.26786944084,-0.12636944084079005,-0.1265903772113638,0.13727917303243106,-0.9221382560445485,0.9221382560445485,0.12636944084079005,47395.26786944084,0.0
85,2.717,1.4999999973650315,47395.1405,47395.30783459266,-0.16733459266106365,-0.13568853838175224,0.13727917303243106,-0.9884131393310255,0.9884131393310255,0.16733459266106365,47395.30783459266,0.0
86,2.64544791666667,1.5000000039897623,47395.1835,47395.3485066633,-0.1650066633010283,-0.1622317228619876,0.13727917303243106,-1.1817650068715209,1.1817650068715209,0.1650066633010283,47395.3485066633,0.0
87,2.6665,1.5000000009263788,47395.18,47395.38985885301,-0.20985885300615337,-0.18433271037307955,0.13727917303243106,-1.3427580185781893,1.3427580185781893,0.20985885300615337,47395.38985885301,0.0
88,2.61,1.4999999990548496,47395.2255,47395.43189888424,-0.20639888424193487,-0.20443084585551535,0.13727917303243106,-1.4891614025619186,1.4891614025619186,0.20639888424193487,47395.43189888424,0.0
89,2.6944921875,1.5000000023859266,47395.299,47395.47460545457,-0.17560545456944965,-0.22212821421109968,0.13727917303243106,-1.6180765756698121,1.6180765756698121,0.17560545456944965,47395.47460545457,0.0
90,2.61929166666667,1.5000000013542252,47395.2585,47395.51793007981,-0.25943007980822586,-0.22185490770708485,0.13727917303243106,-1.6160856946207964,1.6160856946207964,0.25943007980822586,47395.51793007981,0.0
91,2.63570833333333,1.4999999965971114,47395.302,47395.5618972972,-0.2598972971973126,-0.1993051130500842,0.13727917303243106,-1.4518233803972582,1.4518233803972582,0.2598972971973126,47395.5618972972,0.0
92,2.60279166666667,1.4999999953837706,47395.3365,47395.60647634707,-0.2699763470736798,-0.17343824114585812,0.13727917303243106,-1.2633980618814245,1.2633980618814245,0.2699763470736798,47395.60647634707,0.0
94,2.67865277777778,1.5000000020470547,47395.366,47395.65164575604,-0.285645756041049,-0.15954488348264326,0.13727917303243106,-1.1621929237944353,1.1621929237944353,0.285645756041049,47395.65164575604,0.0
98,2.60494444444444,1.499999994093876,47395.5325,47395.697374834126,-0.1648748341249302,-0.15281048170113032,0.13727917303243106,-1.11313667124896,1.11313667124896,0.1648748341249302,47395.697374834126,0.0
105,2.69095572916667,1.5000000012577095,47395.7815,47395.743558511385,0.03794148861197755,-0.13370286749058222,0.13727917303243106,-0.9739486663355411,0.9739486663355411,0.03794148861197755,47395.743558511385,0.0
106,2.6485,1.4999999969188598,47395.813,47395.79005700587,0.022942994131881278,-0.12001576603345004,0.13727917303243106,-0.874245986352914,0.874245986352914,0.022942994131881278,47395.79005700587,0.0
107,2.597125,1.4999999943381537,47395.7555,47395.83685866527,-0.08135866527300095,-0.10032318178612816,0.1378170336271098,-0.7279447187752686,0.7279447187752686,0.08135866527300095,47395.83685866527,0.0
108,2.65410532407407,1.4999999982577152,47395.769,47395.883995838536,-0.11499583853583317,-0.07758464868270999,0.14745028477982997,-0.5261749666917087,0.5261749666917087,0.11499583853583317,47395.883995838536,0.0
109,2.645,1.4999999996927211,47395.844,47395.93146155191,-0.08746155191329308,-0.06536903624267627,0.14772208190067662,-0.4425136404903109,0.4425136404903109,0.08746155191329308,47395.93146155191,0.0
110,2.59608333333333,1.5000000004612692,47395.8425,47395.97921338408,-0.13671338408312295,-0.06902873546884318,0.151675453007423,-0.455108154286936,0.455108154286936,0.13671338408312295,47395.97921338408,0.0
111,2.6045,1.4999999995568465,47395.9345,47396.02724308885,-0.09274308884778293,-0.07592395420942921,0.15261020004313175,-0.4975024879593308,0.4975024879593308,0.09274308884778293,47396.02724308885,0.0
112,2.56983333333333,1.4999999961421293,47395.9945,47396.07549895811,-0.08099895811028546,-0.07591485325166206,0.16341637977353335,-0.46454861720022694,0.46454861720022694,0.08099895811028546,47396.07549895811,0.0
113,2.61354861111111,1.4999999978665208,47396.069,47396.12393432217,-0.05493432216462679,-0.06891303270013951,0.16569885822923727,-0.4158932260402258,0.4158932260402258,0.05493432216462679,47396.12393432217,0.0
