sample_index,axis,baseline_distance,signal_0,signal_1,detection_score,is_candidate
203,8.75335068298732,1.4999999988180728,47397.3585,-2.507333335308059,0.0,False
204,8.76498470062373,1.5000000039074404,47397.491,-2.4226666603545133,0.6952902285849601,False
205,8.77646573631431,1.499999997142188,47397.449,-2.388000004546222,0.7458795834145202,False
206,8.78779212152726,1.4999999988419763,47397.563,-2.356000001818636,0.7712151933415599,False
207,8.79896260021449,1.499999996587387,47397.592,-2.3933333387808693,0.8461995112112448,False
208,8.80997631735325,1.5000000050489206,47397.516,-2.4813333249823444,0.8838830795153334,False
209,8.82083279521798,1.499999994886081,47397.6095,-2.5206666752621087,0.8133819789321787,False
210,8.83153192093904,1.4999999910074615,47397.6355,-2.5366666818742423,0.7509004122289797,False
211,8.84207392083358,1.5000000025858635,47397.6305,-2.5273333289747333,0.7030367201885426,False
212,8.85245934093192,1.499999994404423,47397.6955,-2.5540000095262765,0.6333521429627544,False
213,8.86268901912486,1.4999999989514272,47397.747,-2.436000001704396,0.5876440102366653,False
214,8.87276406590923,1.4999999991278647,47397.7665,-2.483333334776232,0.598996162673393,False
215,8.88268583530048,1.5000000009225103,47397.7925,-2.539333331772363,0.532782331186759,False
216,8.89245589953765,1.5000000089628407,47397.908500000005,-2.448666652036996,0.4564609878825081,False
217,8.90207601919122,1.5000000044262554,47397.978,-2.3533333263882543,0.45522009430400395,False
218,8.91154811832748,1.4999999995481867,47397.9585,-2.378000000713248,0.4605427779349378,False
219,8.92087425620359,1.5000000023761817,47398.004,-2.409333329517589,0.6148594100758414,False
220,8.9300566031753,1.500000001902465,47398.045,-2.430666663584254,0.6702273471348438,False
221,8.9390974071523,1.5000000040640145,47398.153,-2.550666659756657,0.7364773891969136,False
222,8.94799897144354,1.5000000029933835,47398.161,-2.447999995118756,0.6673860841497647,False
223,8.95676361912593,1.500000003358481,47398.3665,-2.344666661416871,0.6318450969460875,False
224,8.96539367053765,1.5000000058955285,47398.291,-2.403999990551278,0.6197626023808367,False
225,8.97389142052431,1.5000000011697947,47398.4445,-2.3939999981332405,0.6195319407043812,False
226,8.98225911230464,1.4999999932980852,47398.423,-2.440000010899259,0.5676413149847461,False
227,8.99049891406446,1.5000000002565963,47398.5815,-2.496666666236472,0.6267419420042263,False
228,8.9986128974642,1.5000000065941057,47398.618,-2.458666655859476,0.5323133782224265,False
229,9.00660300858971,1.5000000078534148,47398.757,-2.451999987162207,0.496131612839257,False
230,9.01447105095742,1.499999997511246,47398.829,-2.497333337476289,0.48966821708262853,False
231,9.0222186633402,1.5000000026409863,47398.831000000006,-2.523999995556139,0.49229203512655473,False
232,9.02984730548772,1.5000000006409568,47398.915,-2.4719999989428496,0.5049663215062178,False
233,9.03735824484504,1.5000000011099763,47398.8625,-2.483333331494736,0.5051890592533067,False
234,9.04475253759386,1.5000000012656738,47398.963,-2.374666664661684,0.5525497726225668,False
235,9.05203101468613,1.5000000047653954,47398.9535,-2.475333325466772,0.5117127146057194,False
236,9.05919426602335,1.5000000027984763,47399.032,-2.373333328903969,0.5661891911010428,False
237,9.06624263775869,1.5000000078880509,47399.0855,-2.452666653771311,0.515130905223128,False
238,9.07317621460057,1.499999998052382,47399.11,-2.422666669815934,0.46560784769337016,False
239,9.07999481515355,1.5000000045177344,47399.0875,-2.443333325975028,0.4864866129501716,False
240,9.08669798489651,1.5000000064106729,47399.1275,-2.364666656559705,0.4825875484670806,False
241,9.09328500167185,1.5000000018122457,47399.0845,-2.399333330431015,0.48550564767102955,False
242,9.09975486983832,1.5000000032309435,47399.0945,-2.49399999462437,0.5184709618338472,False
243,9.10610633362451,1.5000000023247495,47399.08,-2.471999996167958,0.5078053097125026,False
244,9.112337872902,1.499999995212299,47399.133,-2.400000007659351,0.6239242303583873,False
245,9.11844771506123,1.500000004616475,47399.169,-2.382666659334002,0.5903058176614194,False
246,9.12443383670788,1.499999998469732,47399.158,-2.40533333578732,0.6166912263549075,False
247,9.13029397882181,1.4999999981383825,47399.2885,-2.41400000299542,0.6207979508797159,False
248,9.13602565549022,1.5000000001749731,47399.3085,-2.3153333330620107,0.6655885773546655,False
249,9.1416261725717,1.4999999988031496,47399.274000000005,-2.498666668660082,0.7786612782612425,False
250,9.14709263001041,1.5000000030977685,47399.4675,-2.416666661675817,0.8435080064213162,False
251,9.15242194693931,1.5000000030464191,47399.433000000005,-2.537333328182901,0.8567553989605059,False
252,9.15761088053003,1.5000000009112906,47399.5285,-2.387333331886689,0.9016712548326122,False
253,9.16265605383712,1.500000000914284,47399.4315,-2.393999998541036,0.853565937442855,False
254,9.1675539725871,1.4999999984759094,47399.503500000006,-2.3273333356992474,0.8512576328941442,False
255,9.17230104837254,1.5000000059213194,47399.6715,-2.428666657081837,0.788881558293244,False
256,9.17689362519383,1.500000000418978,47399.642,-2.389333332667656,0.8212748783511796,False
257,9.18132800633917,1.5000000042493098,47399.7295,-2.353999993333201,0.7489336291768594,False
258,9.18560048082375,1.4999999985387853,47399.819,-2.336000002276142,0.7081894601133955,False
259,9.18970734648569,1.500000009179342,47399.8495,-2.4339999851085192,0.5911769293967118,False
260,9.19364494178673,1.500000003089463,47399.853,-2.3226666618854828,0.5452645228768945,False
