sample_index,axis,baseline_distance,mode_common,mode_difference,mode_coupling,mode_saliency,detection_score,is_candidate
19,6.85260223827755,1.5000000035733163,0.9321738475143186,-0.0522001665401118,-0.0409096930543966,-0.4749047523502753,0.0,False
20,6.86080791312909,1.5000000006716778,0.933061863021218,-0.1006512948815972,-0.0408892791073042,-0.4614491507500441,0.0,False
21,6.86875326668532,1.499999999636163,0.9334435538969784,-0.1726819700290852,-0.0408978890528266,-0.4359909651292306,0.0,False
22,6.87645271691622,1.499999999048727,0.9324932215125036,-0.1126025739377164,-0.040896824811406,-0.4144454258515436,0.0,False
23,6.88392146396384,1.4999999939939317,0.934417255110672,-0.1497484414432114,-0.0408796396459194,-0.4003127822768128,0.0,False
24,6.89117543111126,1.500000002162979,0.93493136935155,-0.1180936991601253,-0.0408787071170265,-0.3794888570525065,0.0,False
25,6.89823119254036,1.5000000094583965,0.9349781070097604,-0.0948371530429121,-0.0408843023928325,-0.3480212397618106,0.0,False
26,6.90510591356266,1.4999999988032238,0.9364970809031764,-0.1449033249759836,-0.0408990981645563,-0.3422263082341878,0.0,False
27,6.91181727706332,1.4999999932559744,0.9350949511553988,-0.0770717523543762,-0.0408973665042191,-0.3159584328388477,0.0,False
28,6.91838341245182,1.4999999979967469,0.9358739121263988,-0.1410272355126018,-0.0408436581252068,-0.3333249060775484,0.0,False
29,6.924822817872,1.500000002871617,0.9359829666622982,-0.1668678322579937,-0.0408062603424423,-0.3825763156736581,0.0,False
30,6.93115428771419,1.4999999986129464,0.9360374939302476,-0.152332497823803,-0.0408109357212769,-0.4085182055188626,0.0,False
31,6.93739683742257,1.499999997045719,0.9360608627594662,-0.1461953564093583,-0.0408001342097667,-0.378768820381167,0.0,False
32,6.94356962988619,1.500000000809646,0.9378368937731514,-0.121000767784087,-0.0408115094476198,-0.4143569337243996,0.0,False
33,6.94969189556382,1.4999999947700509,0.9362711822215252,-0.156854606030788,-0.0407980679368933,-0.4398732935309272,0.0,False
34,6.95578285497561,1.5000000005154617,0.9370423535827856,-0.1649297891171045,-0.0408059350771942,-0.4577407054265815,0.0,False
35,6.96186164271197,1.4999999986064323,0.938382166452874,-0.1642837756435448,-0.0408013191133425,-0.4794499448169231,0.0,False
36,6.96794722822241,1.5000000013290522,0.9383432184044034,-0.0709346036483679,-0.0407390402347571,-0.4921799744590628,0.0,False
37,6.97405834044585,1.5000000021336015,0.9406022052201224,-0.1084034739502163,-0.0407361395227773,-0.4983850477234924,0.0,False
38,6.9802133909476,1.5000000029257423,0.9405009402938492,-0.0996822706337401,-0.0407664659129036,-0.5089347839665511,0.0,False
39,6.98643040997983,1.499999995116622,0.9400101948821894,-0.0825628786165804,-0.0407745542385952,-0.5175941016906968,0.0,False
40,6.99272697168424,1.5000000016584012,0.942160127162009,-0.1122795644118199,-0.0408206184031236,-0.5170924765058513,0.0,False
41,6.99912013022262,1.5000000027951437,0.9432506725213412,-0.1000052782425305,-0.0407961494184918,-0.5196876167470166,0.0,False
42,7.00562634660097,1.4999999907410655,0.9442866906127236,-0.1675138571029551,-0.0408536670383281,-0.5203703362439119,0.0,False
43,7.01226143113425,1.4999999996283986,0.9458446125546104,-0.1119565584724663,-0.0408261802685864,-0.5219308016733462,0.0,False
44,7.0190404791119,1.4999999968263529,0.9465924150867658,-0.0822398698201791,-0.0408068969748912,-0.5253921735225737,0.0,False
45,7.02597781616492,1.4999999916478068,0.9474960098130308,-0.0919300990201875,-0.0407673583515448,-0.5269498498736297,0.0,False
46,7.03308694081519,1.499999997286539,0.9496537317025898,-0.1529785139029512,-0.0407622600682511,-0.528349924670202,0.0,False
47,7.04038047490225,1.5000000036023893,0.952512518465981,-0.1352130959362164,-0.0407551098664532,-0.5288471618589671,0.0,False
48,7.04787011627967,1.5000000081491984,0.952551466514565,-0.1826951958007375,-0.0407286506661423,-0.5293724013608848,0.0,False
49,7.05556659244946,1.499999992868329,0.9535017988991532,-0.1012973158766216,-0.0407280513903048,-0.5276641423081292,0.0,False
50,7.06347963048883,1.499999997501123,0.955332357180788,-0.1668678366098401,-0.0407433948912787,-0.5221247981550566,0.0,False
51,7.07161791916277,1.500000003059506,0.9559477363479394,-0.0832088876454286,-0.0407705067700447,-0.5189689854558172,0.0,False
52,7.07998908583946,1.5000000013479355,0.958058720579175,-0.1248768574583113,-0.0407279134231955,-0.5111075394413366,0.0,False
53,7.08859967248638,1.4999999990670667,0.9591181074996624,-0.1449033247661641,-0.0406485638189618,-0.5017895092514367,0.0,False
54,7.09745511512548,1.5000000011576855,0.9603488658337384,-0.1164786624025529,-0.0406192192720484,-0.4969162617984848,0.0,False
55,7.10655972657945,1.499999997303692,0.9606370813930788,-0.1174476879198423,-0.0406453375024926,-0.4870494562956261,0.0,False
56,7.11591668930804,1.5000000052897269,0.9612524605601166,-0.1177706892211487,-0.040640382029873,-0.4789763355026358,0.0,False
57,7.12552804850877,1.499999994176139,0.961898998165999,-0.1620227266582765,-0.0406410919351018,-0.4732517531112915,0.0,False
58,7.13539471409742,1.5000000076372462,0.9618055228494654,-0.2033676766417516,-0.0406229509485362,-0.4596148949409753,0.0,False
59,7.14551646668616,1.5000000017556203,0.9615017280707596,-0.0887000162621379,-0.0406485719501833,-0.4542326040336801,0.0,False
60,7.15589196822802,1.5000000024151137,0.9636360811312136,-0.0589833250517062,-0.040598781123795,-0.4240643668324779,0.0,False
61,7.16651877751708,1.4999999964744528,0.9646565200031172,-0.0489700966585179,-0.0406098172329948,-0.4207676255588639,0.0,False
62,7.17739336768663,1.4999999960535182,0.966152125067428,-0.1012973134362132,-0.0406213018951582,-0.4361047876655413,0.0,False
63,7.18851115337681,1.5000000011518089,0.9639866135681296,-0.1491024207117325,-0.0406317866714738,-0.4600081046830555,0.0,False
64,7.19986651230087,1.5000000015249058,0.9642203018594068,-0.1116335494967926,-0.0406460104085147,-0.4708965802769945,0.0,False
65,7.21145281969607,1.500000003353296,0.9650460004886172,-0.1038813679039055,-0.0406166757960478,-0.4584545928818409,0.0,False
66,7.22326248320613,1.4999999975562182,0.96641697179755,-0.1071114474436838,-0.0406405472935502,-0.4789457068671301,0.0,False
67,7.2352869900894,1.500000005611693,0.966393602968445,-0.1087264787748287,-0.040682944053086,-0.5033782822502054,0.0,False
68,7.24751694686135,1.5000000066893178,0.967079088622798,-0.0576912918724235,-0.0406814325367132,-0.5052659434641935,0.0,False
69,7.25994212778858,1.5000000049233988,0.968426691102626,-0.1284299372434484,-0.0406652171823004,-0.5110831552829562,0.0,False
70,7.27255152368711,1.499999998664444,0.9699768234347732,-0.1145406192865417,-0.0406672135271486,-0.516880905534219,0.0,False
