sample_index,axis,baseline_distance,signal,background_estimate,residual,residual_smoothed,local_scale,normalized_residual,enhanced_response,abs_residual,emd_trend_residual
6891,4.33652069191413,1.500000000340815,47287.473,47287.51651832061,-0.04351832061007194,-0.006715958511793679,0.007014431374622002,-0.9574487443261348,0.9574487443261348,0.04351832061007194,47287.509768294854
6892,4.33444213349225,1.5000000001305231,47287.5425,47287.49925928358,0.04324071642568322,0.0011369285761942674,0.007014431374622002,0.16208421117464206,0.16208421117464206,0.04324071642568322,47287.501474812925
6893,4.33247106860238,1.4999999946323983,47287.462,47287.498247115174,-0.036247115176325305,0.002826138106805573,0.0070216471290009035,0.4024893383110949,0.4024893383110949,0.036247115176325305,47287.49855671678
6894,4.33061018459799,1.4999999972373437,47287.4755,47287.49864697066,-0.02314697065948989,0.0018735671420221486,0.0070216471290009035,0.26682729957817386,0.26682729957817386,0.02314697065948989,47287.49968730311
6895,4.32886183705966,1.499999994013313,47287.4985,47287.50000556667,-0.0015055666650563354,-0.006222120345401516,0.007014431374622002,-0.887045579761883,0.887045579761883,0.0015055666650563354,47287.50396783828
6896,4.32722803150138,1.4999999992465258,47287.536,47287.50281724826,0.03318275173398648,-0.004349596576937287,0.0070216471290009035,-0.6194553068570654,0.6194553068570654,0.03318275173398648,47287.51062199342
6897,4.325710413255,1.49999999785689,47287.53,47287.507949411316,0.02205058868354856,-0.006686305868393847,0.0070216471290009035,-0.9522417953442825,0.9522417953442825,0.02205058868354856,47287.51887343966
6898,4.32431025639408,1.4999999969679052,47287.495,47287.51566012329,-0.02066012328492634,-0.0037411081701594767,0.0070216471290009035,-0.532796379742283,0.532796379742283,0.02066012328492634,47287.527945848145
6899,4.32302845441528,1.4999999941428928,47287.499,47287.52839504356,-0.029395043555961845,0.0008232815464324034,0.0070216471290009035,0.11724906297727133,0.11724906297727133,0.029395043555961845,47287.53706289002
6900,4.32186551949642,1.5000000028950933,47287.519,47287.545665606696,-0.026665606693893874,-0.0017369519570091588,0.007014431374622002,-0.24762548298546308,0.24762548298546308,0.026665606693893874,47287.54547562587
6901,4.32082156883106,1.499999996888914,47287.583,47287.56078966719,0.02221033280257418,-0.004495962394981638,0.006949010263364695,-0.6469932011303007,0.6469932011303007,0.02221033280257418,47287.552192374715
6902,4.31989632361628,1.499999998020874,47287.556500000006,47287.566240335895,-0.009740335892215974,-0.0068029370816624175,0.006949010263364695,-0.9789792824925907,0.9789792824925907,0.009740335892215974,47287.55626245514
6903,4.31908910532643,1.500000003263463,47287.5835,47287.565567463214,0.017932536789837035,-0.003388483657413426,0.006779537945999461,-0.499810412509445,0.499810412509445,0.017932536789837035,47287.557164252474
6904,4.31839883102314,1.4999999950699838,47287.54,47287.5645476682,-0.024547668196030395,-0.0038329175276481855,0.0067417841803371435,-0.5685316268098793,0.5685316268098793,0.024547668196030395,47287.5544861858
6905,4.31782401611933,1.500000007431174,47287.559,47287.55064834221,0.00835165779223417,-0.0007495468984988845,0.006730801485222592,-0.1113607198406471,0.1113607198406471,0.00835165779223417,47287.54777804454
6906,4.31736276370563,1.5000000032379452,47287.5225,47287.5212121835,0.0012878165034215516,-0.00013086766894986943,0.0067417841803371435,-0.019411429593304632,0.019411429593304632,0.0012878165034215516,47287.53785707473
6907,4.31701276780642,1.499999994979708,47287.505000000005,47287.49493004247,0.010069957533314572,0.005482020475934792,0.0067417841803371435,0.813140902956144,0.813140902956144,0.010069957533314572,47287.52665812131
6908,4.31677130320719,1.5000000046184008,47287.4555,47287.48889494839,-0.03339494838807468,0.003971142310974,0.0067417841803371435,0.5890343275235801,0.5890343275235801,0.03339494838807468,47287.51560000534
6909,4.31663523484577,1.5000000050096889,47287.4965,47287.495415271034,0.001084728968449836,0.005566793044318841,0.006730801485222592,0.8270624317981565,0.8270624317981565,0.001084728968449836,47287.50538556097
6910,4.31660101981057,1.4999999972638305,47287.5245,47287.49672155413,0.027778445868515318,-0.0009090425333577264,0.006730801485222592,-0.1350571006073378,0.1350571006073378,0.027778445868515318,47287.496213761115
6911,4.31666470842409,1.5000000035523655,47287.533,47287.49222434259,0.040775657411745984,0.0046055538326688255,0.006606409200466702,0.6971342060288169,0.6971342060288169,0.040775657411745984,47287.48828357868
6912,4.316821950267,1.500000003268967,47287.490000000005,47287.4856653667,0.004334633305189902,0.0022892993501462773,0.0065887771686832155,0.34745435936541164,0.34745435936541164,0.004334633305189902,47287.48179398658
6913,4.317067989173,1.499999993389738,47287.4685,47287.4786868116,-0.010186811595926833,0.006759992114359464,0.00641090802415522,1.0544515829721708,1.0544515829721708,0.010186811595926833,47287.47679337552
6914,4.31739768596085,1.5000000094937669,47287.423,47287.47293086241,-0.04993086240685493,0.005508350262831198,0.006062688101310675,0.9085656677011578,0.9085656677011578,0.04993086240685493,47287.472631760495
6915,4.31780552363215,1.5000000023280744,47287.5265,47287.4755808162,0.05091918379766052,0.007236009040144518,0.005793483071965161,1.2489911423336653,1.2489911423336653,0.05091918379766052,47287.468533753454
6916,4.31828561869841,1.5000000034033374,47287.4765,47287.48727633281,-0.010776332809388365,0.0039062096344842814,0.005793483071965161,0.6742420036379406,0.6742420036379406,0.010776332809388365,47287.464301740605
6917,4.3188317463492,1.499999992281005,47287.5005,47287.49365871351,0.006841286489844008,-0.0041519567299245315,0.005290002388887087,-0.7848685926204321,0.7848685926204321,0.006841286489844008,47287.45985611449
6918,4.31943734389402,1.4999999986768011,47287.4475,47287.4576800477,-0.010180047695304562,0.005677104185153283,0.005157470952148324,1.1007534967867358,1.1007534967867358,0.010180047695304562,47287.45511726763
6919,4.32009552985465,1.5000000011635513,47287.4435,47287.40017262514,0.04332737486433519,0.011101671933535968,0.005157470952148324,2.1525418245761734,2.1525418245761734,0.04332737486433519,47287.45000559255
6920,4.32079911592179,1.4999999974331113,47287.3965,47287.38569253724,0.010807462760803868,6.304858555331028e-05,0.005064431670404248,0.012449291382833027,0.012449291382833027,0.010807462760803868,47287.44444148177
6921,4.32154063675104,1.500000004253684,47287.343,47287.411188863975,-0.06818886397448941,-0.0034981342765391618,0.005157470952148324,-0.6782654345502476,0.6782654345502476,0.06818886397448941,47287.438345327835
